"index","m","H","rho","eta","nu"
".AEX",102,0.00993064231317559,3.27318411758871,3.45766982365982,1.63659205879435
".AORD",72,0.00964103047994748,3.98455123493963,4.20240619720049,1.99227561746982
".BFX",102,0.00952337080694119,3.15309344231539,3.32332881538879,1.57654672115769
".BSESN",75,0.0151344877827912,2.56436908862081,2.78786748651209,1.2821845443104
".BVLG",90,0.0207711100761375,1.74087280389967,1.95242750242878,0.870436401949835
".BVSP",84,0.0231966219677514,2.07391120596177,2.35729679708235,1.03695560298089
".DJI",78,0.0162611906277113,3.41428568026672,3.73502244690376,1.70714284013336
".FCHI",102,0.021102478527899,2.33699133611454,2.62578752019499,1.16849566805727
".FTMIB",102,0.0289403343532386,2.02377006092928,2.37442443223074,1.01188503046464
".FTSE",102,0.0104644949218361,3.86712572658049,4.0971467815879,1.93356286329025
".GDAXI",102,0.0165688313627902,2.70426050222671,2.9633270720769,1.35213025111336
".GSPTSE",78,0.0104999123506793,3.78632274501104,4.01232210312894,1.89316137250552
".HSI",78,0.0237132904239522,2.06477932371117,2.35362186767302,1.03238966185559
".IBEX",102,0.0520583377661457,1.4508777024354,1.93403165156731,0.7254388512177
".IXIC",78,0.0279673743609443,2.12870372999629,2.48415852756519,1.06435186499814
".KS11",78,0.013351927554988,2.41786713829697,2.60285247629919,1.20893356914849
".KSE",72,0.011137511622615,3.69641439814013,3.93086146185477,1.84820719907007
".MXX",78,0.00877886692347229,4.25462770594782,4.46593872572147,2.12731385297391
".N225",72,0.0159702336420396,2.88509509782065,3.1510536317203,1.44254754891032
".NSEI",75,0.0163907891594772,2.61872314975221,2.86677571308121,1.3093615748761
".OMXC20",96,0.00995124041006384,3.60277499904166,3.80627022693181,1.80138749952083
".OMXHPI",102,0.00922091699980435,3.31453247377913,3.48765472928069,1.65726623688956
".OMXSPI",102,0.00889845673259823,3.49692910065039,3.67303268169677,1.74846455032519
".OSEAX",88,0.0105374656330169,3.84617260367779,4.07658949016969,1.9230863018389
".RUT",78,0.0304068097132078,2.20882446451389,2.61261195241203,1.10441223225694
".SMSI",78,0.0534760493329787,1.40440018484279,1.88678856779039,0.702200092421395
".SPX",78,0.0491508640238496,1.90215028613049,2.49520165747966,0.951075143065245
".SSEC",66,0.0116193592434067,2.90457576073816,3.09702873716443,1.45228788036908
".SSMI",102,0.0103600739104052,2.56524394476756,2.71626105485313,1.28262197238378
".STI",96,0.0352127541284695,1.2539649827417,1.52308268468085,0.62698249137085
".STOXX50E",102,0.0229228940077698,2.91085744837452,3.30360916424366,1.45542872418726
